idplaces	place_type	name	full_name	country_code	country	id	longitude	latitude
515c2854db4f391a	neighborhood	Narciso Mendoza Súper Manzana 7 Villa Coapa	Narciso Mendoza Súper Manzana 7 Villa Coapa, Tlalpan	MX	México	13687	-99.1295682	19.2853805
07d9ea2828c81003	poi	El Cotto	El Cotto	US	United States	13688	-6.236599099999999	43.0797312
779f37cddf9edcf6	neighborhood	Valle Verde	Valle Verde, Toluca	MX	México	13689	-99.6410951	19.2761377
67860449a321239d	neighborhood	Privada Alhelí	Privada Alhelí, San Luis Potosí	MX	México	13690	-100.8837233	22.1084945
3feb620d7f256d5d	neighborhood	ENEP Aragón UNAM	ENEP Aragón UNAM, Nezahualcóyotl	MX	México	13691	-99.045076	19.4748125
423a5b1f55cbadce	neighborhood	San Jorge	San Jorge, Chihuahua	MX	México	13692	-106.0471185	28.6078543
3b386c66509d0a5c	neighborhood	Solidaridad	Solidaridad, Othón P. Blanco	MX	México	13693	-88.3074516	18.5281448
140e8aab4119a9c5	neighborhood	Balcones de Oblatos	Balcones de Oblatos, Guadalajara	MX	México	13694	-103.2901584	20.6869758
23690b643bea7470	neighborhood	Cuauhtémoc	Cuauhtémoc, Morelia	MX	México	13695	-101.1836807	19.6975178
04c1cf3c945fa2df	neighborhood	Lomas del Álamo	Lomas del Álamo, Tlaquepaque	MX	México	13696	-103.3157777	20.6313027
2e2236e41f59207a	neighborhood	Alameda	Alameda, Celaya	MX	México	13697	-100.8080657	20.5291935
4eac5117d847bad3	city	Chiautla	Chiautla, Puebla	MX	México	13698	-98.6021399	18.2996964
4b692781b9bd2499	neighborhood	Panorámico	Panorámico, Chihuahua	MX	México	13699	-106.114725	28.6706058
cdc5c222d00851d8	city	Torres de Segre	Torres de Segre, España	ES	España	13700	0.5141739	41.5340778
1e6edbdec6653550	city	Portilla	Portilla, España	ES	España	13701	-2.0763253	40.30050860000001
0099e07f397bbd86	city	Santa Clara	Santa Clara, Ecuador	EC	Ecuador	13702	-77.886746	-1.2662961
7d15b198ee6808c2	neighborhood	Periodista	Periodista, Miguel Hidalgo	MX	México	13703	-99.21898379999999	19.448224
687da14c0f48de37	neighborhood	Copilco Universidad	Copilco Universidad, Coyoacán	MX	México	13704	-99.1767541	19.3347383
00bc7b1e349149cf	neighborhood	Porta	Porta, Barcelona	ES	España	13705	2.178185	41.4344658
008deb4d1a3212c1	admin	Cañar	Cañar, Ecuador	EC	Ecuador	13706	-78.9388191	-2.5589315
